"Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Previous.qualification..grade.","Nacionality","Admission.grade","Displaced","Educational.special.needs","Debtor","Gender","Scholarship.holder","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..approved.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..approved.","Unemployment.rate","Target"
"single",NA,"Animation and Multimedia Design","daytime","Secondary education",122,"Portuguese",127.3,"yes","no","no","male","no",0,0,0,0,10.8,"Dropout"
"single","second choice","Tourism","daytime","Secondary education",160,"Portuguese",142.5,"yes","no","no","male",NA,6,6,6,6,13.9,"Graduate"
"single","sixth choice","Communication Design","daytime","Secondary education",NA,"Portuguese",124.8,NA,NA,"no","male","no",6,NA,6,0,10.8,"Dropout"
"single","third choice","Journalism and Communication","daytime","Secondary education",122,"Portuguese",119.6,"yes","no","no","female","no",6,6,6,5,9.4,"Graduate"
"married","second choice","Social Service (evening attendance)","evening","Secondary education",100,"Portuguese",141.5,"no","no","no","female","no",6,5,6,6,13.9,"Graduate"
"married","second choice","Management (evening attendance)","evening","Basic education 3rd cycle (9th/10th/11th year) or equiv.",133.1,"Portuguese",114.8,"no",NA,"yes","male",NA,NA,5,5,NA,16.2,"Graduate"
"single","second choice","Nursing","daytime","Secondary education",142,"Portuguese",128.4,"yes","no","no","female","yes",7,NA,8,8,15.5,"Graduate"
"single","fifth choice","Tourism","daytime","Secondary education",119,"Portuguese",113.1,"yes","no","no","male","no",5,0,5,0,15.5,"Dropout"
"single","fourth choice","Social Service",NA,NA,137,"Romanian",129.3,"no","no","no","female","yes",6,6,6,NA,16.2,"Graduate"
"single","second choice",NA,"daytime","Secondary education",138,"Portuguese",123,"yes","no","yes","female","no",NA,5,6,2,8.9,"Dropout"
"single","second choice","Advertising and Marketing Management","daytime","Secondary education",139,"Portuguese",130.6,NA,NA,"no","female","no",6,6,6,NA,13.9,"Graduate"
"single","second choice","Nursing","daytime","Secondary education",136,"Portuguese",119.3,"yes","no","no",NA,"yes",NA,7,8,7,12.7,"Graduate"
"single","third choice","Basic Education","daytime","Secondary education",133,"Portuguese",130.2,NA,"no","no",NA,"no",6,0,6,0,12.7,"Dropout"
"single","second choice","Tourism","daytime",NA,110,"Portuguese",111.8,"yes","no","no","female","yes",6,6,6,5,8.9,"Graduate"
"single","second choice","Veterinary Nursing","daytime","Secondary education",149,"Portuguese",137.1,"yes",NA,"no","female","yes",5,4,5,NA,10.8,"Graduate"
NA,"second choice","Journalism and Communication","daytime","Secondary education",127,"Portuguese",120.7,"yes","no","no","female","no",6,5,6,0,15.5,"Dropout"
"single","second choice","Social Service","daytime",NA,137,NA,137.4,"yes",NA,"no","female","no",NA,1,6,2,10.8,"Enrolled"
"single","third choice","Nursing",NA,"Secondary education",135,"Portuguese",127.3,"yes","no","no","female","no",NA,NA,8,8,15.5,"Graduate"
"single","second choice","Equinculture","daytime","Secondary education",137,"Portuguese",136.3,"yes","no","no","female","no",5,4,5,4,10.8,"Graduate"
"single","second choice","Basic Education","daytime","Secondary education",140,"Portuguese",124.6,"yes","no","no","female","no",NA,6,7,6,NA,"Enrolled"
"single","fourth choice","Animation and Multimedia Design","daytime","Secondary education",122,"Portuguese",120.3,"no",NA,"no","female",NA,0,0,0,0,11.1,"Graduate"
"single","fifth choice","Oral Hygiene","daytime","Secondary education",127,"Portuguese",121.8,"yes","no",NA,"female","no",7,7,8,8,12.7,"Enrolled"
"single","fifth choice","Nursing","daytime",NA,142,"Portuguese",125.5,"yes","no","no","female","no",8,7,8,7,12.7,"Graduate"
"single","fifth choice","Advertising and Marketing Management","daytime","Secondary education",125,"Portuguese",114.9,NA,"no","no","female","yes",NA,6,6,6,NA,"Graduate"
"single","second choice","Nursing","daytime","Secondary education",126,"Portuguese",123.9,"no",NA,"no","female","no",7,6,8,7,11.1,"Graduate"
"single",NA,NA,"daytime",NA,NA,"Portuguese",157,"yes","no","yes","female","yes",6,5,6,4,7.6,"Enrolled"
"single","third choice","Social Service","daytime","Secondary education",115,"Portuguese",116.4,"yes","no","no","female","no",6,6,6,6,16.2,"Graduate"
"single","second choice","Veterinary Nursing","daytime","Secondary education",138,"Portuguese",131,"yes","no","no","female","no",5,5,5,4,9.4,"Enrolled"
NA,"second choice","Management","daytime","Secondary education",135,"Portuguese",122.1,"yes","no","no",NA,"no",5,5,5,5,16.2,"Graduate"
"single","third choice","Nursing","daytime","Secondary education",127,"Portuguese",118.8,"yes","no","no","male","no",7,6,NA,6,16.2,"Enrolled"
"single",NA,"Agronomy","daytime","Technological specialization course",150,NA,150,NA,"no","no","male","no",6,5,6,5,16.2,"Enrolled"
"single","second choice",NA,"daytime","Secondary education",125,"Portuguese",130,NA,"no",NA,"male","no",6,6,6,4,8.9,"Graduate"
"single",NA,"Management","daytime","Secondary education",143,"Portuguese",138.8,"no","no","no","male","no",5,3,5,2,8.9,"Enrolled"
"single","second choice","Social Service (evening attendance)","evening","Secondary education",138,"Portuguese",134.5,"yes","no","no","female","no",6,6,6,6,NA,"Graduate"
NA,NA,NA,"evening","Secondary education",130,"Portuguese",131.4,"no","no","no","male",NA,5,5,5,5,NA,"Graduate"
"single","second choice","Biofuel Production Technologies","daytime","Secondary education",130,"Portuguese",NA,"no",NA,"yes","male","no",NA,0,NA,1,8.9,"Dropout"
"single","second choice","Informatics Engineering","daytime","11th year of schooling - not completed",133.1,"Portuguese",128.8,"yes","no","no","male","no",5,0,5,0,7.6,"Dropout"
"single","second choice","Management","daytime","Secondary education",140,"Portuguese",122.9,"no","no","no","female",NA,5,1,5,2,16.2,"Dropout"
"divorced","second choice","Management (evening attendance)","evening","Secondary education",120,"Portuguese",113.9,"yes","no",NA,"female","no",5,NA,5,5,7.6,"Graduate"
"single","second choice","Equinculture",NA,"Technological specialization course",120,"Spanish",NA,"no","no","yes","female","no",6,NA,6,NA,12.4,"Dropout"
"single","sixth choice","Journalism and Communication","daytime","Secondary education",126,"Portuguese",121.1,"no","no","yes","female","no",6,4,5,0,12.7,"Dropout"
"single","third choice","Management","daytime","Secondary education",133,NA,120.4,"yes","no","no","female","no",5,5,5,5,8.9,"Graduate"
"single","seventh chioce","Nursing","daytime",NA,103,"Portuguese",100.6,"yes","yes","no","female","no",NA,5,NA,7,11.1,"Graduate"
"single","second choice","Journalism and Communication",NA,"Secondary education",120,"Portuguese",121.4,"no","no","no","female","no",6,4,6,5,12.4,"Dropout"
"single","second choice","Management (evening attendance)","evening",NA,133.1,"Portuguese",109.7,"no","no","no","female","no",5,0,5,0,16.2,"Dropout"
"single","second choice","Management (evening attendance)","evening","Secondary education",154,"Portuguese",134.1,"no","no","no","female","no",5,2,5,3,7.6,"Enrolled"
"single","third choice","Social Service","daytime","Secondary education",130,"Portuguese",127.6,"yes","no","no","female","no",6,6,NA,NA,11.1,"Graduate"
"single","seventh chioce","Nursing","daytime","Secondary education",132,"Portuguese",132.4,"yes","no","no",NA,NA,7,6,NA,7,11.1,"Graduate"
"single","second choice","Social Service (evening attendance)","evening","Technological specialization course",130,"Portuguese",133.4,"no","no","no","female","yes",6,6,6,6,12.4,"Graduate"
NA,"second choice","Social Service","daytime","Secondary education",139,"Portuguese",126.1,"no","no","no","female","yes",6,5,6,6,12.7,"Graduate"
"single","second choice","Tourism","daytime","Secondary education",130,"Portuguese",113.5,"no","no","no","female","yes",6,6,6,6,12.4,"Graduate"
"single","second choice","Nursing","daytime","Secondary education",139,"Portuguese",121.3,"yes","no","no","female","yes",8,6,8,6,9.4,"Enrolled"
"single","second choice","Journalism and Communication",NA,"Secondary education",127,NA,NA,"yes","no","no","female","yes",6,4,6,3,9.4,"Enrolled"
"single","fourth choice","Equinculture","daytime","Secondary education",167,"Portuguese",159.3,"no","no","no","female","no",5,5,5,5,7.6,"Graduate"
