"Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Previous.qualification..grade.","Nacionality","Admission.grade","Displaced","Educational.special.needs","Debtor","Gender","Scholarship.holder","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..approved.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..approved.","Unemployment.rate","Target"
1,NA,171,1,1,122,1,127.3,1,0,0,1,0,0,0,0,0,10.8,"Dropout"
1,1,9254,1,1,160,1,142.5,1,0,0,1,NA,6,6,6,6,13.9,"Graduate"
1,5,9070,1,1,NA,1,124.8,NA,NA,0,1,0,6,NA,6,0,10.8,"Dropout"
1,2,9773,1,1,122,1,119.6,1,0,0,0,0,6,6,6,5,9.4,"Graduate"
2,1,8014,0,1,100,1,141.5,0,0,0,0,0,6,5,6,6,13.9,"Graduate"
2,1,9991,0,19,133.1,1,114.8,0,NA,1,1,NA,NA,5,5,NA,16.2,"Graduate"
1,1,9500,1,1,142,1,128.4,1,0,0,0,1,7,NA,8,8,15.5,"Graduate"
1,4,9254,1,1,119,1,113.1,1,0,0,1,0,5,0,5,0,15.5,"Dropout"
1,3,9238,NA,NA,137,62,129.3,0,0,0,0,1,6,6,6,NA,16.2,"Graduate"
1,1,NA,1,1,138,1,123,1,0,1,0,0,NA,5,6,2,8.9,"Dropout"
1,1,9670,1,1,139,1,130.6,NA,NA,0,0,0,6,6,6,NA,13.9,"Graduate"
1,1,9500,1,1,136,1,119.3,1,0,0,NA,1,NA,7,8,7,12.7,"Graduate"
1,2,9853,1,1,133,1,130.2,NA,0,0,NA,0,6,0,6,0,12.7,"Dropout"
1,1,9254,1,NA,110,1,111.8,1,0,0,0,1,6,6,6,5,8.9,"Graduate"
1,1,9085,1,1,149,1,137.1,1,NA,0,0,1,5,4,5,NA,10.8,"Graduate"
NA,1,9773,1,1,127,1,120.7,1,0,0,0,0,6,5,6,0,15.5,"Dropout"
1,1,9238,1,NA,137,NA,137.4,1,NA,0,0,0,NA,1,6,2,10.8,"Enrolled"
1,2,9500,NA,1,135,1,127.3,1,0,0,0,0,NA,NA,8,8,15.5,"Graduate"
1,1,9130,1,1,137,1,136.3,1,0,0,0,0,5,4,5,4,10.8,"Graduate"
1,1,9853,1,1,140,1,124.6,1,0,0,0,0,NA,6,7,6,NA,"Enrolled"
1,3,171,1,1,122,1,120.3,0,NA,0,0,NA,0,0,0,0,11.1,"Graduate"
1,4,9556,1,1,127,1,121.8,1,0,NA,0,0,7,7,8,8,12.7,"Enrolled"
1,4,9500,1,NA,142,1,125.5,1,0,0,0,0,8,7,8,7,12.7,"Graduate"
1,4,9670,1,1,125,1,114.9,NA,0,0,0,1,NA,6,6,6,NA,"Graduate"
1,1,9500,1,1,126,1,123.9,0,NA,0,0,0,7,6,8,7,11.1,"Graduate"
1,NA,NA,1,NA,NA,1,157,1,0,1,0,1,6,5,6,4,7.6,"Enrolled"
1,2,9238,1,1,115,1,116.4,1,0,0,0,0,6,6,6,6,16.2,"Graduate"
1,1,9085,1,1,138,1,131,1,0,0,0,0,5,5,5,4,9.4,"Enrolled"
NA,1,9147,1,1,135,1,122.1,1,0,0,NA,0,5,5,5,5,16.2,"Graduate"
1,2,9500,1,1,127,1,118.8,1,0,0,1,0,7,6,NA,6,16.2,"Enrolled"
1,NA,9003,1,39,150,NA,150,NA,0,0,1,0,6,5,6,5,16.2,"Enrolled"
1,1,NA,1,1,125,1,130,NA,0,NA,1,0,6,6,6,4,8.9,"Graduate"
1,NA,9147,1,1,143,1,138.8,0,0,0,1,0,5,3,5,2,8.9,"Enrolled"
1,1,8014,0,1,138,1,134.5,1,0,0,0,0,6,6,6,6,NA,"Graduate"
NA,NA,NA,0,1,130,1,131.4,0,0,0,1,NA,5,5,5,5,NA,"Graduate"
1,1,33,1,1,130,1,NA,0,NA,1,1,0,NA,0,NA,1,8.9,"Dropout"
1,1,9119,1,10,133.1,1,128.8,1,0,0,1,0,5,0,5,0,7.6,"Dropout"
1,1,9147,1,1,140,1,122.9,0,0,0,0,NA,5,1,5,2,16.2,"Dropout"
4,1,9991,0,1,120,1,113.9,1,0,NA,0,0,5,NA,5,5,7.6,"Graduate"
1,1,9130,NA,39,120,6,NA,0,0,1,0,0,6,NA,6,NA,12.4,"Dropout"
1,5,9773,1,1,126,1,121.1,0,0,1,0,0,6,4,5,0,12.7,"Dropout"
1,2,9147,1,1,133,NA,120.4,1,0,0,0,0,5,5,5,5,8.9,"Graduate"
1,6,9500,1,NA,103,1,100.6,1,1,0,0,0,NA,5,NA,7,11.1,"Graduate"
1,1,9773,NA,1,120,1,121.4,0,0,0,0,0,6,4,6,5,12.4,"Dropout"
1,1,9991,0,NA,133.1,1,109.7,0,0,0,0,0,5,0,5,0,16.2,"Dropout"
1,1,9991,0,1,154,1,134.1,0,0,0,0,0,5,2,5,3,7.6,"Enrolled"
1,2,9238,1,1,130,1,127.6,1,0,0,0,0,6,6,NA,NA,11.1,"Graduate"
1,6,9500,1,1,132,1,132.4,1,0,0,NA,NA,7,6,NA,7,11.1,"Graduate"
1,1,8014,0,39,130,1,133.4,0,0,0,0,1,6,6,6,6,12.4,"Graduate"
NA,1,9238,1,1,139,1,126.1,0,0,0,0,1,6,5,6,6,12.7,"Graduate"
1,1,9254,1,1,130,1,113.5,0,0,0,0,1,6,6,6,6,12.4,"Graduate"
1,1,9500,1,1,139,1,121.3,1,0,0,0,1,8,6,8,6,9.4,"Enrolled"
1,1,9773,NA,1,127,NA,NA,1,0,0,0,1,6,4,6,3,9.4,"Enrolled"
1,3,9130,1,1,167,1,159.3,0,0,0,0,0,5,5,5,5,7.6,"Graduate"
1,1,9991,0,1,130,1,120,0,0,0,0,0,5,NA,5,5,9.4,"Dropout"
1,1,9500,1,1,130,1,129.1,1,0,0,0,0,NA,7,8,8,15.5,"Graduate"
2,1,9254,1,3,130,1,130,0,0,0,NA,0,6,0,6,0,12.4,"Dropout"
1,1,9130,1,40,129,NA,155.3,1,0,0,0,0,6,5,11,NA,12.4,"Dropout"
1,1,9500,1,1,141,1,139.8,1,0,0,0,0,8,8,8,8,9.4,"Graduate"
1,3,171,1,1,125,1,115.2,1,0,0,0,0,0,0,0,0,7.6,"Enrolled"
1,2,9500,1,1,125,1,114.9,0,0,0,0,0,7,6,8,NA,16.2,"Graduate"
1,1,9238,1,39,130,1,131.9,NA,0,0,0,1,6,6,NA,6,13.9,"Graduate"
1,3,171,1,1,133,1,126,1,0,0,1,1,0,NA,0,0,10.8,"Enrolled"
1,1,9070,1,1,127,1,130.2,1,0,0,1,NA,6,5,6,NA,10.8,"Enrolled"
1,1,9070,1,1,NA,1,120.9,0,0,0,1,NA,6,NA,6,0,12.7,"Enrolled"
4,NA,9500,1,19,133.1,1,126,1,0,0,1,0,NA,5,8,5,13.9,"Dropout"
1,3,171,1,1,139,1,128.2,1,0,0,1,1,0,NA,0,NA,10.8,"Graduate"
1,NA,9003,1,39,130,1,130,1,0,NA,1,0,6,NA,6,6,8.9,"Graduate"
1,3,9147,1,1,125,1,120.1,0,0,1,1,0,NA,NA,NA,NA,16.2,"Dropout"
1,1,9254,1,NA,160,1,100,0,0,0,1,0,6,6,6,5,12.7,"Enrolled"
1,1,9147,1,1,148,1,134,0,0,NA,1,0,5,NA,5,0,7.6,"Enrolled"
1,1,9500,1,1,150,1,130.8,0,0,0,1,0,7,7,8,8,13.9,"Graduate"
1,1,171,1,1,141,1,135.8,1,0,NA,1,0,0,0,0,0,15.5,"Dropout"
1,4,9254,1,1,118,1,111.7,1,0,0,1,0,6,3,NA,1,12.4,"Dropout"
1,2,9773,1,1,142,1,132.9,1,0,NA,NA,0,6,6,6,3,10.8,"Graduate"
1,3,9147,1,1,120,1,NA,NA,0,1,1,0,NA,3,5,3,10.8,"Dropout"
1,NA,9254,1,1,106,1,106,1,0,0,1,1,6,4,6,1,9.4,"Dropout"
NA,4,9773,1,1,121,1,120.3,1,0,1,1,1,NA,6,6,6,8.9,"Graduate"
1,4,9500,1,1,150,NA,130.8,0,0,NA,1,1,7,7,8,8,16.2,"Graduate"
2,1,8014,NA,1,120,1,117,0,0,0,1,0,6,NA,6,6,10.8,"Graduate"
1,6,9853,1,1,NA,1,110.2,1,0,0,1,0,6,5,6,5,10.8,"Dropout"
1,1,9991,0,2,140,1,155.7,1,0,0,1,0,1,0,5,0,10.8,"Dropout"
1,1,9003,1,4,NA,1,180.4,0,0,1,1,0,12,6,12,NA,NA,"Dropout"
1,1,9254,1,1,120,1,125.5,0,0,0,1,0,5,5,5,3,NA,"Enrolled"
2,NA,8014,0,1,130,1,110,1,0,0,0,0,6,6,6,5,9.4,"Graduate"
1,NA,9500,1,1,160,1,161,1,0,0,0,1,8,7,8,7,10.8,"Graduate"
1,1,9670,NA,1,120,1,100,0,0,NA,0,1,5,4,NA,5,9.4,"Graduate"
1,1,9070,1,1,124,NA,117.6,1,0,NA,1,0,6,6,6,5,7.6,"Graduate"
1,6,NA,1,1,143,1,128.7,1,0,0,1,0,5,4,5,5,11.1,"Enrolled"
1,2,9119,1,1,115,1,112.2,1,0,1,1,0,5,2,5,0,15.5,"Enrolled"
NA,1,9500,1,1,133.1,1,100.8,0,0,0,NA,0,7,0,7,0,13.9,"Dropout"
1,2,9773,1,1,133.1,NA,105,1,0,0,0,0,6,6,6,6,8.9,"Graduate"
1,NA,9130,1,1,133.1,41,100,0,0,0,0,0,6,2,6,0,8.9,"Dropout"
2,1,9853,1,10,133.1,1,115.5,0,0,NA,0,0,6,NA,6,0,7.6,"Dropout"
2,1,8014,0,1,133.1,1,114,0,0,0,0,0,8,8,6,6,12.7,"Graduate"
1,1,9119,NA,1,130,26,137,1,0,NA,1,0,5,5,5,3,13.9,"Enrolled"
1,5,9773,1,1,135,1,124.9,1,0,0,0,0,6,6,6,6,8.9,"Graduate"
1,5,9500,NA,1,132,1,120.3,1,0,0,0,1,7,7,8,8,NA,"Graduate"
1,NA,9085,1,1,135,1,134.3,1,0,0,0,0,5,NA,5,NA,12.7,"Enrolled"
1,4,9500,1,1,115,1,111.5,1,0,1,0,0,7,4,7,0,NA,"Dropout"
1,1,9085,1,42,130,1,128.8,0,NA,0,0,0,10,8,9,5,8.9,"Dropout"
1,NA,171,1,1,133.1,1,110,NA,0,0,0,NA,NA,0,0,0,16.2,"Graduate"
2,1,8014,0,1,130,1,113.5,1,0,0,NA,0,6,0,6,NA,9.4,"Dropout"
4,1,9003,NA,12,NA,1,160,0,NA,0,0,0,18,18,13,13,15.5,"Graduate"
NA,NA,NA,1,1,123,1,117.4,1,0,0,0,0,6,0,6,0,11.1,"Dropout"
1,1,9070,1,1,NA,1,122.2,0,0,1,0,0,10,10,11,11,11.1,"Graduate"
1,2,9238,1,1,NA,1,NA,1,0,0,0,0,6,0,6,0,16.2,"Dropout"
NA,1,NA,1,1,113,1,106.7,1,0,0,NA,0,NA,4,6,4,15.5,"Dropout"
1,NA,NA,1,1,111,NA,108.2,1,0,0,0,0,7,6,7,5,12.4,"Dropout"
1,2,9853,1,1,133.1,1,107,1,0,0,0,0,7,6,7,3,16.2,"Enrolled"
1,1,9238,1,1,142,1,136.1,1,0,0,0,0,6,6,6,NA,13.9,"Graduate"
1,2,9147,1,1,123,1,115.3,1,0,0,0,1,5,3,5,3,8.9,"Enrolled"
1,1,9085,1,1,NA,1,139.8,1,0,0,0,0,5,5,5,5,10.8,"Graduate"
NA,3,NA,1,1,158,1,157,1,0,NA,NA,NA,6,6,6,6,10.8,"Graduate"
NA,2,NA,1,1,122,1,131,1,NA,0,NA,0,7,6,7,6,7.6,"Dropout"
1,1,9500,1,1,130,1,100,0,0,NA,NA,0,7,6,7,7,13.9,"Enrolled"
1,1,9238,1,1,154,1,140.4,1,0,0,NA,1,6,2,6,4,NA,"Enrolled"
1,1,9147,1,NA,120,1,113.4,0,0,0,0,0,5,3,5,3,12.4,"Enrolled"
1,2,9085,1,1,140,1,NA,0,0,0,0,0,5,5,5,5,9.4,"Graduate"
1,1,9147,1,1,127,1,121.8,0,0,0,0,0,5,5,5,5,11.1,"Graduate"
1,1,9254,1,1,133.1,1,131,1,0,0,0,0,6,3,6,2,9.4,"Dropout"
1,2,9147,1,1,120,1,NA,1,0,0,0,0,5,5,5,4,16.2,"Graduate"
1,1,171,1,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,10.8,"Dropout"
1,1,9670,1,1,131,1,127.9,NA,0,0,0,1,5,5,5,5,9.4,"Graduate"
1,1,9085,NA,1,130,1,121.3,1,0,0,0,0,6,6,6,NA,15.5,"Graduate"
1,6,9556,1,1,122,NA,117.1,1,NA,NA,0,0,7,5,7,0,13.9,"Dropout"
1,1,NA,1,39,160,1,160,1,0,0,0,0,NA,6,6,5,12.4,"Graduate"
NA,1,9853,1,1,146,1,NA,1,0,0,0,1,6,NA,6,5,9.4,"Enrolled"
1,3,9238,1,1,131,1,122.6,1,0,0,0,0,6,6,6,6,NA,"Graduate"
1,6,9500,1,1,NA,1,128,1,0,0,0,0,7,7,8,8,12.4,"Graduate"
1,3,9500,1,NA,138,1,124.9,NA,0,0,0,1,7,7,NA,7,13.9,"Dropout"
1,2,9070,1,NA,130,1,123.7,1,0,0,0,0,6,6,6,6,7.6,"Graduate"
1,4,9147,1,1,126,1,120.1,1,0,0,NA,0,5,5,5,5,8.9,"Graduate"
1,6,NA,1,1,148,1,NA,1,0,0,0,NA,7,5,7,0,13.9,"Dropout"
1,1,9238,NA,1,130,1,133.2,0,0,NA,0,0,9,9,7,7,NA,"Graduate"
1,NA,NA,1,NA,NA,1,NA,0,0,1,0,1,6,5,6,4,12.4,"Dropout"
1,1,9670,1,1,120,1,113,1,0,0,0,0,5,4,5,4,7.6,"Graduate"
