"","Marital.status","Application.order","Course","Daytime.evening.attendance","Previous.qualification","Previous.qualification..grade.","Nacionality","Admission.grade","Displaced","Educational.special.needs","Debtor","Gender","Scholarship.holder","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..approved.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..approved.","Unemployment.rate","Target"
"1",1,5,171,1,1,122,1,127.3,1,0,0,1,0,0,0,NA,0,10.8,"Dropout"
"2",1,1,9254,1,1,160,1,142.5,1,0,0,1,NA,6,6,6,6,13.9,"Graduate"
"3",1,NA,9070,1,1,122,1,124.8,1,0,0,1,0,6,0,6,NA,10.8,"Dropout"
"4",1,2,9773,1,1,122,1,119.6,1,0,NA,0,NA,6,6,6,5,9.4,"Graduate"
"5",NA,1,8014,0,NA,100,1,NA,0,0,0,0,0,6,5,6,6,13.9,"Graduate"
"6",2,1,9991,0,19,133.1,1,114.8,0,NA,1,1,0,5,5,5,NA,16.2,"Graduate"
"7",NA,1,9500,1,1,142,1,128.4,NA,0,NA,0,1,7,7,8,8,15.5,"Graduate"
"8",1,4,9254,1,1,119,1,NA,1,0,0,1,0,5,0,5,0,15.5,"Dropout"
"9",1,3,9238,1,NA,137,62,129.3,0,0,0,0,1,6,6,6,6,16.2,"Graduate"
"10",NA,1,9238,1,1,138,1,123,NA,0,1,0,0,6,5,6,2,NA,"Dropout"
"11",1,1,9670,NA,1,139,NA,130.6,1,0,0,0,0,6,6,6,5,13.9,"Graduate"
"12",1,1,9500,1,1,136,1,119.3,1,0,0,0,1,8,NA,8,7,12.7,"Graduate"
"13",1,2,NA,1,1,133,NA,NA,1,0,0,0,0,NA,0,6,0,12.7,"Dropout"
"14",1,1,9254,1,42,110,1,111.8,NA,0,0,0,1,6,6,6,5,8.9,"Graduate"
"15",1,1,9085,1,NA,149,1,137.1,1,0,0,0,1,5,NA,5,5,10.8,"Graduate"
